>>> Results for Fig. 12:

Kernel               Latency                   DSP                  FF                   LUT                  II              Execution Time 
3mm_32               4198(259.1 x)             160(66%)             24028(18%)           21046(33%)           1                s             
3mm_64               33061(262.4 x)            160(66%)             24228(19%)           21102(33%)           1                s             
3mm_256              2101287(263.7 x)          160(66%)             24567(19%)           21341(33%)           1                s             
3mm_1024             134283303(335.9 x)        160(66%)             24884(19%)           21503(33%)           1                s             
3mm_2048             1074004007(336.0 x)       160(66%)             25041(19%)           21614(34%)           1                s             



